"","X","Gene.name","alpha","beta","lambda1","lambda2","MCpval","on_state_freq","on_state","total_cells","CellType","MEAN","MODE","MEDIAN"
"1",1,"X0610009D07Rik",0.0267355083920612,1.26414456373342,1900.17001750746,1.10106803228609,0.75,30.5084745762712,18,59,"Pyramidal",206.410387593153,2.83055978037196,0
"2",2,"X0610037L13Rik",0.0353673600117025,0.750525143522439,731.923076877884,0.845690890824654,0.356,25.4237288135593,15,59,"Pyramidal",97.6020710359797,15.4971155661588,0
"3",3,"X1110019D14Rik",0.0883875363437548,3.36586468886097,255.910653500223,0.100049419548513,0.341,30.5084745762712,18,59,"Pyramidal",1.60622322002099,0.378613036785807,0
"4",4,"X1110037F02Rik",0.0440026324508013,16.5008234289373,1147.93926863942,3.69412490061675,0.209,32.2033898305085,19,59,"Pyramidal",108.09500887526,2.62567651548889,0
"5",5,"X1110058L19Rik",0.0116372652390781,0.314176706220965,3083.13300860778,0.96596227785888,0.989,22.0338983050847,13,59,"Pyramidal",399.59303356958,11.9792806930364,0
"6",6,"X1700113A16Rik",0.0699807676415239,0.988249943767365,29.097219737726,0.997369758863811,0.561,27.1186440677966,16,59,"Pyramidal",7.19140858801001,2.29084182703155,0
"7",7,"X1810022K09Rik",0.0622404734813686,1.16152289728937,1025.39319030267,1.1348153166658,0.8,35.5932203389831,21,59,"Pyramidal",172.779740726916,23.5702138300895,0
"8",8,"X1810041L15Rik",0.0193204301121571,284.638512785847,20051.5016008083,2.34744487962736,0.065,44.0677966101695,26,59,"Pyramidal",52.2058159848899,0.201505588516067,0
"9",9,"X2010012O05Rik",0.129286634646541,3.38225719244154,295.41005169104,1.6479020166604,0.681,72.8813559322034,43,59,"Pyramidal",27.2084898705925,1.5397670553507,0.74538515436255
"10",10,"X2010107E04Rik",0.053346169675758,0.398734618813004,4517.8636319449,0.921071611718156,0.983,59.3220338983051,35,59,"Pyramidal",897.725203344227,106.989190702781,0.940122886379286
"11",11,"X2010300C02Rik",0.0683518530143888,0.535578669934778,862.523789094342,0.895585489049367,0.458,45.7627118644068,27,59,"Pyramidal",194.313358650507,39.8427430828464,0
"12",12,"X2210018M11Rik",0.0477127980762725,0.747571109845135,617.098736900973,0.577273188769665,0.177,32.2033898305085,19,59,"Pyramidal",67.5506533833519,5.02210474412474,0
"13",13,"X2410002F23Rik",0.0479458113101098,0.828448568517774,183.76584389845,1.00319448873328,0.762,45.7627118644068,27,59,"Pyramidal",29.0986321236638,1.7394502634386,0
"14",14,"X2410006H16Rik",0.0538401278363112,0.780948249543831,729.207159581728,0.96464283620193,0.921,44.0677966101695,26,59,"Pyramidal",111.226335765044,17.9402320416778,0
"15",15,"X2410015M20Rik",0.0433158090546862,2.16365874520848,436.070402839588,1.62441833388344,0.212,45.7627118644068,27,59,"Pyramidal",34.4106001410146,0.422437282453715,0
"16",16,"X2410076I21Rik",0.11023420647968,1.18813374506927,107.222680838207,0.0695880240482205,0.779,42.3728813559322,25,59,"Pyramidal",1.48798338839027,0.530646743069451,0
"17",17,"X2610002M06Rik",0.0278806562560132,0.474225894889684,719.293358424395,0.602735958842645,0.909,23.728813559322,14,59,"Pyramidal",111.453083294518,5.15833950148118,0
"18",18,"X2610524H06Rik",0.0350809362455915,0.605156578945346,944.309201234974,0.499532323886505,0.902,23.728813559322,14,59,"Pyramidal",126.307153844882,7.74142467087671,0
"19",19,"X2700081O15Rik",0.135027307874095,2.52662792394225,390.809440506908,0.104461604322677,0.286,50.8474576271186,30,59,"Pyramidal",4.32152504551815,0.667191903497461,0.0810522198627428
"20",20,"X2810474O19Rik",0.0134606962600959,0.456628330087572,216167.64257306,0.0441229379724833,1,37.2881355932203,22,59,"Pyramidal",735.168573293992,-6.06771635440449,0
"21",21,"X2900055J20Rik",0.0553248712448127,0.724592200099536,2381.74157078321,0.967998825771591,0.987,72.8813559322034,43,59,"Pyramidal",222.810520768159,4.54137882361977,0.456693859820445
